word,wording,model,temperature,feature,k,n,rate,ci_lo,ci_hi
glummble,W1,claude-haiku-4-5,0.0,round_body,30,30,1.000,0.886,1.000
glummble,W1,claude-haiku-4-5,0.0,soft_texture,30,30,1.000,0.886,1.000
glummble,W1,claude-haiku-4-5,0.0,lavender_purple,30,30,1.000,0.886,1.000
glummble,W1,claude-haiku-4-5,0.0,six_legs,0,30,0.000,0.000,0.114
glummble,W1,claude-haiku-4-5,0.0,humming_vocal,20,30,0.667,0.488,0.808
glummble,W1,claude-haiku-4-5,0.0,bioluminescence,9,30,0.300,0.167,0.479
glummble,W1,claude-haiku-4-5,0.0,large_eyes,30,30,1.000,0.886,1.000
glummble,W1,claude-haiku-4-5,0.0,spiral_tail,0,30,0.000,0.000,0.114
glummble,W1,claude-haiku-4-5,0.0,object_collecting,1,30,0.033,0.006,0.167
glummble,W1,claude-haiku-4-5,0.0,mood_color,10,30,0.333,0.192,0.512
glummble,W1,claude-haiku-4-5,0.0,waddle_gait,0,30,0.000,0.000,0.114
glummble,W1,claude-haiku-4-5,0.0,shy_gentle,15,30,0.500,0.332,0.668
glummble,W1,claude-haiku-4-5,0.0,curious,1,30,0.033,0.006,0.167
glummble,W1,claude-haiku-4-5,0.0,name_from_sound,8,30,0.267,0.142,0.444
glummble,W1,claude-haiku-4-5,1.0,round_body,42,50,0.840,0.715,0.917
glummble,W1,claude-haiku-4-5,1.0,soft_texture,50,50,1.000,0.929,1.000
glummble,W1,claude-haiku-4-5,1.0,lavender_purple,14,50,0.280,0.175,0.417
glummble,W1,claude-haiku-4-5,1.0,six_legs,0,50,0.000,0.000,0.071
glummble,W1,claude-haiku-4-5,1.0,humming_vocal,15,50,0.300,0.191,0.438
glummble,W1,claude-haiku-4-5,1.0,bioluminescence,5,50,0.100,0.043,0.214
glummble,W1,claude-haiku-4-5,1.0,large_eyes,32,50,0.640,0.501,0.759
glummble,W1,claude-haiku-4-5,1.0,spiral_tail,3,50,0.060,0.021,0.162
glummble,W1,claude-haiku-4-5,1.0,object_collecting,12,50,0.240,0.143,0.374
glummble,W1,claude-haiku-4-5,1.0,mood_color,5,50,0.100,0.043,0.214
glummble,W1,claude-haiku-4-5,1.0,waddle_gait,19,50,0.380,0.259,0.518
glummble,W1,claude-haiku-4-5,1.0,shy_gentle,38,50,0.760,0.626,0.857
glummble,W1,claude-haiku-4-5,1.0,curious,2,50,0.040,0.011,0.135
glummble,W1,claude-haiku-4-5,1.0,name_from_sound,3,50,0.060,0.021,0.162
glummble,W1,claude-sonnet-4-6,0.0,round_body,30,30,1.000,0.886,1.000
glummble,W1,claude-sonnet-4-6,0.0,soft_texture,30,30,1.000,0.886,1.000
glummble,W1,claude-sonnet-4-6,0.0,lavender_purple,12,30,0.400,0.246,0.577
glummble,W1,claude-sonnet-4-6,0.0,six_legs,6,30,0.200,0.095,0.373
glummble,W1,claude-sonnet-4-6,0.0,humming_vocal,30,30,1.000,0.886,1.000
glummble,W1,claude-sonnet-4-6,0.0,bioluminescence,4,30,0.133,0.053,0.297
glummble,W1,claude-sonnet-4-6,0.0,large_eyes,24,30,0.800,0.627,0.905
glummble,W1,claude-sonnet-4-6,0.0,spiral_tail,11,30,0.367,0.219,0.545
